scan	exclude	SubjID	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
sub-rat015_task-rest_run-01_bold	no	sub-rat015_task-rest_run-01_bold	0.1203078919206587	0.1036290036812634	0.26260751211190264	0.2654184310045797	Unspecific
sub-rat015_task-rest_run-02_bold	no	sub-rat015_task-rest_run-02_bold	0.12673752146597816	0.07810388536420589	0.08702982691383515	0.1159847939113763	Spurious
sub-rat017_task-rest_run-01_bold	no	sub-rat017_task-rest_run-01_bold	0.032181416334145486	0.02568799449739143	0.155142708729795	0.04128192300117992	Specific
sub-rat017_task-rest_run-02_bold	no	sub-rat017_task-rest_run-02_bold	0.11330243214601883	0.0373726363356381	0.059530399016626656	-0.03078711738041779	No
sub-rat018_task-rest_run-01_bold	no	sub-rat018_task-rest_run-01_bold	0.0387112434662907	0.057042645154092984	-0.3105078822378686	-0.17907030290726175	Spurious
sub-rat018_task-rest_run-02_bold	no	sub-rat018_task-rest_run-02_bold	0.05539174592443823	0.12195510799134601	0.1399681887492427	-0.2617441444346663	Specific
sub-rat019_task-rest_run-01_bold	no	sub-rat019_task-rest_run-01_bold	0.15170076859984738	0.1101475534479628	-0.018278350945858095	0.04877003992657025	No
sub-rat019_task-rest_run-02_bold	no	sub-rat019_task-rest_run-02_bold	0.18864144369737912	0.2231082845714205	0.13529015935041963	0.05554021274762674	Specific
sub-rat022_task-rest_run-01_bold	no	sub-rat022_task-rest_run-01_bold	0.001060929882465225	0.014813569066057686	0.29336080133634423	-0.11405703832861745	Specific
sub-rat022_task-rest_run-02_bold	no	sub-rat022_task-rest_run-02_bold	0.0006859695843038782	0.01852528519235833	0.04112846482503712	0.049742808376641086	No
sub-rat022_task-rest_run-03_bold	no	sub-rat022_task-rest_run-03_bold	0.1692936716800317	-0.04721589408634398	0.0816115970898622	-0.013420349914226548	No
sub-rat023_task-rest_run-01_bold	no	sub-rat023_task-rest_run-01_bold	0.12129962902580234	0.18613896766450044	0.05642215554600276	0.13681334760595046	Spurious
sub-rat023_task-rest_run-02_bold	no	sub-rat023_task-rest_run-02_bold	0.2173302432683371	0.3319092070736247	0.038279768826676455	-0.01427687493070284	No
sub-rat024_task-rest_run-01_bold	no	sub-rat024_task-rest_run-01_bold	-0.002968837531762572	0.12724944033498323	-0.062385656798343396	0.07052606413139312	No
sub-rat024_task-rest_run-02_bold	no	sub-rat024_task-rest_run-02_bold	0.16849821484090363	0.14312077743332027	0.06942177155038046	0.11662550871473494	Spurious
sub-rat024_task-rest_run-03_bold	no	sub-rat024_task-rest_run-03_bold	0.12163881054802683	0.739841954702695	0.1515184090232385	0.16008233431341193	Unspecific
sub-rat026_task-rest_run-01_bold	no	sub-rat026_task-rest_run-01_bold	0.09076599907646513	0.023460033169013374	-0.051909421548944894	0.05189498832150061	No
sub-rat026_task-rest_run-02_bold	no	sub-rat026_task-rest_run-02_bold	0.056336784866304966	0.017581258628270008	0.05829621093696526	-0.06849618945839721	No
sub-rat026_task-rest_run-03_bold	no	sub-rat026_task-rest_run-03_bold	-0.09662405477471359	-0.061753640882343024	0.015171877558008655	-0.04285014500056716	No
sub-rat026_task-rest_run-04_bold	no	sub-rat026_task-rest_run-04_bold	0.1601375553969719	0.13850943863619172	0.5339253779738188	0.02089343994814088	Specific
sub-rat027_task-rest_run-01_bold	no	sub-rat027_task-rest_run-01_bold	0.10609873259011274	0.1470875515389169	0.8252574455320358	0.06756545382424431	Specific
sub-rat027_task-rest_run-02_bold	no	sub-rat027_task-rest_run-02_bold	-0.00822999905668617	0.10462714443298012	0.7234893337996552	0.2877384736256699	Unspecific
sub-rat027_task-rest_run-03_bold	yes	sub-rat027_task-rest_run-03_bold	-0.0369500415213137	0.16675384797540077	0.1756492844154772	0.057527637962228734	Specific
